Word	Annotation	Sense	Part of Speech	Level	English	Russian
müssen, muss, musste, hat gemusst	müssen, muss, musste, hat gemusst		verb	A1	to have to, must	придется
um	um		prep, conj	A1	around, at; in order to	вокруг
ja	ja		part	A1	yes, of course	да
kein	kein		pron	A1	no	нет
über	über		prep	A1	above, over, about	о
da	da		adv, conj	A1	there; because	там
geben, gibt, gab, hat gegeben	geben, gibt, gab, hat gegeben		verb	A1	to give	дать
vor	vor		prep	A1	in front of, before, ago	раньше
mein	mein		pron	A1	my, mine	мой
mehr	mehr		adv	A1	more	больше
Jahr	das Jahr, -e		das	A1	year	год
du	du		pron	A1	you	ты
durch	durch		prep	A1	through	через
viel	viel		pron	A1	much, a lot, many	много
wollen, will, wollte, hat gewollt	wollen, will, wollte, hat gewollt		verb	A1	to want to	хочу
machen, macht, machte, hat gemacht	machen, macht, machte, hat gemacht		verb	A1	to do, make	сделать
andere	andere (r, s)		pron	A1	other	другие
sollen, soll, sollte, hat gesollt	sollen, soll, sollte, hat gesollt		verb	A1	should, ought to	должен
schon	schon		adv, part	A1	already	уже
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	to come	пришёл
mir	mir		pron	A1	me	я
immer	immer		adv	A1	always	всегда
mich	mich		pron, (Reflexive pronoun in the acc.)	A1	me	я
gehen, geht, ging, ist gegangen	gehen, geht, ging, ist gegangen		verb	A1	to go	пошел
groß	groß		adj	A1	big, large, great	большой
hier	hier		adv	A1	here	здесь
ganz	ganz		adj, part	A2	whole, all the; quite	полностью
zwei	zwei		num	A1	two	два
also	also		adv	A1	so	так
jetzt	jetzt		adv	A1	now	сейчас
doch	doch		adv, part	A1	however, but	да
wieder	wieder		adv	A2	again	снова
uns	uns		pron	A1	us, we	мы
gut	gut		adj	A1	good	хорошо
bis	bis		prep, conj	A1	until, till; until	пока
wissen, weiß, wusste, hat gewusst	wissen, weiß, wusste, hat gewusst		verb	A1	to know	знать
sehen, sieht, sah, hat gesehen	sehen, sieht, sah, hat gesehen		verb	A1	to see	видеть
einer	einer		pron	A1	(some)one	один
sehr	sehr		adv	A1	very	очень
Mal	Mal		das, conj, part	A1	time, mark; times	раз
lassen, lässt, ließ, hat gelassen	lassen, lässt, ließ, hat gelassen		verb	A2	to let, allow, have done	позволь
neu	neu		adj	A1	new	новый
stehen, steht, stand, hat gestanden	stehen, steht, stand, hat gestanden		verb	A1	to stand	стоять
unser	unser		pron	A1	our	наш
jede	jede (r, s)		pron	A1	every	каждый
weil	weil		conj	A1	because	потому что
unter	unter		prep	A1	under	под
Mensch	der Mensch, -en		der	A1	human being	человек
ihm	ihm		pron	A1	him	он
ihn	ihn		pron	A1	him	он
denn	denn		conj, part	A1	because; anyway	потому что
Beispiel	das Beispiel, -e		das	A1	example	пример
erste	erste (r, s)		adj	A1	first	первый
Zeit	die Zeit, -en		die	A1	time	время
lang	lang		adj, adv	A1	long; for a long time	длинный
leben, lebt, lebte, hat gelebt	leben, lebt, lebte, hat gelebt		verb	A1	to live	жить
Frau	die Frau, -en		die	A1	woman, wife, Mrs.	г-жа
etwas	etwas		pron	A2	something, some, a little	что-то
selbst, selber	selbst, selber		pron, part	A2	-self; even	себя
wenig	wenig		adj, pron	A1	few; little, few	маленький
finden, findet, fand, hat gefunden	finden, findet, fand, hat gefunden		verb	A1	to find	найти
gegen	gegen		prep	A1	against	против
zwischen	zwischen		prep	A1	between	между
drei	drei		num	A1	three	три
liegen, liegt, lag, hat gelegen	liegen, liegt, lag, hat gelegen		verb	A1	to lie	ложь
wo	wo		pron	A1	where	где
nichts, nix	nichts, nix		pron	A1	nothing	ничего
klein	klein		adj	A1	small, little	маленький
Tag	der Tag, -e		der	A1	day	день
deutsch	deutsch		adj, das	A1	German; German	немецкий
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	to stay, remain	остаться
nun, nu	nun, nu		adv	A1	now	ну
sondern	sondern		conj	B1	but (on the contrary)	но
heute	heute		adv	A1	today	сегодня
beide	beide		pron	A1	both	оба
hoch	hoch		adj	A1	high, tall	высокий
damit	damit		pron	B1	so that	с этим
ohne	ohne		prep, conj	A1	without; without	без
Mann	der Mann, -̈er		der	A1	man	мужчина
welch	welch, -e, -er, -es		pron	A1	which	который
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	to do	делать
einmal	einmal		adv	A1	once	однажды
ihnen	ihnen		pron, pron	A1	them; you	они
heißen, heißt, hieß, hat geheißen	heißen, heißt, hieß, hat geheißen		verb	A1	to be called	зовут
ob	ob		conj	B1	whether, if	ли
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	to think	думать
dabei	dabei		pron	A2	with it, there	там
seit	seit		prep	A1	since, for	с тех пор
einfach	einfach		adj, part	A1	simple, easy; simply	легко
erst	erst		adv, part	A1	first, only, not until	первый
Kind	das Kind, -er		das	A1	child	ребенок
Land	das Land, -̈er		das	A1	land, country, state	страна
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	to place, set, put	положил
zeigen, zeigt, zeigte, hat gezeigt	zeigen, zeigt, zeigte, hat gezeigt		verb	A2	to show	показать
natürlich	natürlich		adj, adv	A2	natural; naturally, of course	конечно
alt	alt		adj	A1	old	старый
dort	dort		adv	A1	there	там
Deutschland	Deutschland		das	A1	Germany	Германия
gleich	gleich		adj	A1	same, right away, just	то же самое
nehmen, nimmt, nahm, hat genommen	nehmen, nimmt, nahm, hat genommen		verb	A1	to take	взять
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	to be allowed to may	может
wichtig	wichtig		adj	A1	important	важный
vielleicht	vielleicht		adv, part	A1	perhaps, maybe	может быть
hören, hört, hörte, hat gehört	hören, hört, hörte, hat gehört		verb	A1	to hear	слышать
Haus	das Haus, -̈er		das	A1	house	дом
nein, nee, nö	nein, nee, nö		part	A1	no	нет
wer	wer		pron	A1	who, whoever	кто
dazu	dazu		pron	A1	in addition, furthermore, to that, for that	к этому
eigentlich	eigentlich		adj, adv, part	A2	actual, real; actually	на самом деле
letzte	letzte (r, s)		adj	A1	last	последний
fragen, fragt, fragte, hat gefragt	fragen, fragt, fragte, hat gefragt		verb	A1	to ask	спросить
Herr	der Herr, -en		der	A1	Mr.	сэр
halten, hält, hielt, hat gehalten	halten, hält, hielt, hat gehalten		verb	A1	to stop, hold	держать
glauben, glaubt, glaubte, hat geglaubt	glauben, glaubt, glaubte, hat geglaubt		verb	A1	to believe	верю
Frage	die Frage, -n		die	A1	question	вопрос
gelten, gilt, galt, hat gegolten	gelten, gilt, galt, hat gegolten		verb	B1	to be valid	применить
gerade	gerade		adj, adv	A1	straight; just, just now, right now	прямой
folgen, folgt, folgte, ist gefolgt	folgen, folgt, folgte, ist gefolgt		verb	B1	to follow	следовать
sprechen, spricht, sprach, hat gesprochen	sprechen, spricht, sprach, hat gesprochen		verb	A1	to speak	говорить
führen, führt, führte, hat geführt	führen, führt, führte, hat geführt		verb	B1	to lead	вести
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	to bring, take	принести
Welt	die Welt, -en		die	A1	world	мир
gar	gar		adv	A1	at all	даже
eigen	eigen		adj	A2	own	собственный
genau	genau		adj	A2	exact	точно
mögen, mag, mochte, hat gemocht	mögen, mag, mochte, hat gemocht		verb	A1	to like	нравится
spät	spät		adj, adj	A1	late; later	поздно
bereits	bereits		adv	B1	already	уже
möglich	möglich		adj, adv	A1	possible; as . . . as possible, if possible	возможно
Prozent	das Prozent, -e		das	A1	percent	процент
während	während		prep, conj	B1	during, while; while, whereas	пока
einige	einige		pron	A1	a few, some	некоторые
dafür	dafür		pron	A2	for it, for that	для этого
kurz	kurz		adj	A1	short	короткий
richtig	richtig		adj	A1	correct, right	правильный
stark	stark		adj	A2	strong	сильный
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	to need	нужно
Hand	die Hand, -̈e		die	A1	hand	рука
etwa	etwa		adv, part	B1	about, approximately; after all	о
weitere	weitere (r, s)		adj	A1	additional, further	больше
Ende	das Ende, -n		das	A1	end	конец
schreiben, schreibt, schrieb, hat geschrieben	schreiben, schreibt, schrieb, hat geschrieben		verb	A1	to write	писать
solch	solch		pron	B1	such	такой
nie	nie		adv	A1	never	никогда
Fall	der Fall, -̈e		der	B1	fall, case	дело
schön	schön		adj	A1	beautiful, pleasant, good	красивый
wirklich	wirklich		adj, adv	A2	real, actual; really, actually	действительно
denen	denen		pron	A1	whom, that	те
nennen, nennt, nannte, hat genannt	nennen, nennt, nannte, hat genannt		verb	A2	to name, call	звонок
warum	warum		adv	A1	why	почему
ziehen, zieht, zog, hat gezogen	ziehen, zieht, zog, hat gezogen		verb	B1	to pull, move	тянет
Wort	das Wort, -̈er		das	A1	word	слово
darauf, drauf	darauf, drauf		pron	A1	on it, to it	на этом
eben, ebend	eben, ebend		adv, part	B1	just, now	просто
Seite	die Seite, -n		die	A2	side, page	страница
Teil	das Teil, -e		der, das	A1	part	часть
jung	jung		adj	A1	young	молодой
vier	vier		num	A1	four	четыре
besser	besser		adj	A1	better	лучше
fast	fast		adv	A2	almost	почти
schnell	schnell		adj	A1	fast	быстро
Stadt	die Stadt, -̈e		die	A1	city, town	город
spielen, spielt, spielte, hat gespielt	spielen, spielt, spielte, hat gespielt		verb	A1	to play	играть
zwar	zwar		adv	B1	admittedly, to be precise	хотя
Euro	der Euro, -s		der	A1	euro (unit of currency)	евро
Arbeit	die Arbeit, -en		die	A1	work	работа
Million, Mio.	Million, Mio.		die	A1	million	миллион
Problem	das Problem, -e		das	A1	problem	проблема
verstehen, versteht, verstand, hat verstanden	verstehen, versteht, verstand, hat verstanden		verb	A1	to understand	понять
bekommen, bekommt, bekam, hat bekommen	bekommen, bekommt, bekam, hat bekommen		verb	A1	to get, receive	получил
meinen, meint, meinte, hat gemeint	meinen, meint, meinte, hat gemeint		verb	A1	to think, have an opinion	значит
davon	davon		pron	A1	from it, about it, thereof	этого
fahren, fährt, fuhr, ist gefahren	fahren, fährt, fuhr, ist gefahren		verb	A1	to drive, ride, go	ехать
kennen, kennt, kannte, hat gekannt	kennen, kennt, kannte, hat gekannt		verb	A1	to know	знаю
dich	dich		pron	A1	you, yourself	ты
Mutter	die Mutter, -̈		die	A1	mother	мать
Woche	die Woche, -n		die	A1	week	неделя
Weg	der Weg, -e		der	A1	path, way	путь
weiter	weiter		adv	A1	further	дальше
Auge	das Auge, -n		das	A1	eye	глаз
oft	oft		adv	A1	often	часто
Leute	Leute		die (pl)	A1	people	люди
allerdings	allerdings		adv	B1	though, indeed, certainly	однако
sogar	sogar		adv	A2	even, in fact	даже
jedoch	jedoch		adv	B1	however	однако
setzen, setzt, setzte, hat gesetzt	setzen, setzt, setzte, hat gesetzt		verb, verb	A2	to set, place, put; to sit down	положил
deshalb	deshalb		adv	A2	therefore	поэтому
weit	weit		adj	A1	widely, far	далеко
sitzen, sitzt, saß, hat gesessen	sitzen, sitzt, saß, hat gesessen		verb	A1	to sit	сидеть
Vater	der Vater, -̈		der	A1	father	отец
dein	dein		pron	A1	your	твой
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	to work	работа
Geld	das Geld, -er		das	A1	money	деньги
Unternehmen	das Unternehmen, -		das	A2	enterprise, company	компания
nächste	nächste (r, s)		adj	A2	next	следующий
erklären, erklärt, erklärte, hat erklärt	erklären, erklärt, erklärte, hat erklärt		verb	A1	to explain	объяснить
klar	klar		adj	A1	clear	ясно
Doktor	der Doktor, -en (Dr.)		der	A1	doctor	доктор
Paar	das Paar, -e		das, pron	A2	pair, couple; a few	пара
Recht	das Recht, -e		das, adj, part	B1	right, law; all right; rather, quite	правильно
wegen	wegen		prep	A2	because of	из-за
dir	dir		pron	A1	you	ты
Wasser	das Wasser, -		das	A1	water	вода
bestehen, besteht, bestand, hat bestanden	bestehen, besteht, bestand, hat bestanden		verb	A2	to exist, insist, pass (an exam)	пройти
versuchen, versucht, versuchte, hat versucht	versuchen, versucht, versuchte, hat versucht		verb	A2	to try, attempt	попробовал
Punkt	der Punkt, -e		der	B1	dot, point, period	период
Grund	der Grund, -̈e		der	B1	reason, basis	причина
Kopf	der Kopf, -̈e		der	A1	head	голова
beginnen, beginnt, begann, hat begonnen	beginnen, beginnt, begann, hat begonnen		verb	A1	to begin	начать
laufen, läuft, lief, ist gelaufen	laufen, läuft, lief, ist gelaufen		verb	A1	to run	бежать
Bild	das Bild, -er		das	A1	picture	изображение
verschieden	verschieden		adj	A2	different, diverse	разные
Name	der Name, -n		der	A1	name	имя
Aufgabe	die Aufgabe, -n		die	A1	task, assignment, job	задача
schwer	schwer		adj	A1	difficult, heavy	сложно
entsprechen, entspricht, entsprach, hat entsprochen	entsprechen, entspricht, entsprach, hat entsprochen		verb	A1	to correspond	переписываться
treffen, trifft, traf, hat getroffen	treffen, trifft, traf, hat getroffen		verb	A2	to meet	ударить
Art	die Art, -en		die	A1	type, kind	искусство
wohl	wohl		adv, part	B1	well; probably	вероятно
Geschichte	die Geschichte, -n		die	A2	history, story	история
erzählen, erzählt, erzählte, hat erzählt	erzählen, erzählt, erzählte, hat erzählt		verb	A1	to tell	рассказать
entstehen, entsteht, entstand, ist entstanden	entstehen, entsteht, entstand, ist entstanden		verb	B1	to originate, develop	возникать
sicher	sicher		adj	A2	safe, secure, certain	конечно
neben	neben		prep	A2	next to, beside	рядом с
allein, alleine	allein, alleine		adv	A1	alone	один
Abbildung	die Abbildung, -en (Abb.)		die	B1	illustration	иллюстрация
hinter	hinter		prep	A2	behind, in back of	позади
besonders	besonders		adv	A2	particularly	особенно
tragen, trägt, trug, hat getragen	tragen, trägt, trug, hat getragen		verb	A2	to carry, wear	носить
kaum	kaum		adv	B1	hardly	вряд ли
Freund	der Freund, -e		der	A1	friend	друг
fünf	fünf		num	A1	five	пять
scheinen, scheint, schien, hat geschienen	scheinen, scheint, schien, hat geschienen		verb	A1	to shine, seem, appear	кажется
Stunde	die Stunde, -n		die	A1	hour	час
aussehen, sieht aus, sah aus, hat ausgesehen	aussehen, sieht aus, sah aus, hat ausgesehen		verb	A1	to appear, look	смотри
gern, gerne	gern, gerne		adv	A1	(with a verb) love to	с радостью
überhaupt	überhaupt		adv	B1	at all, generally	вообще
bestimmt	bestimmt		adj	B1	special, certain	решительный
sowie	sowie		conj	A1	as well as, as soon as, plus	а также
Professor	der Professor, -en		der	B1	professor	профессор
darüber, drüber	darüber, drüber		pron	A1	above it, about it	над этим
deren	deren		pron	A1	whose	чей
schaffen, schafft, schuf, hat geschaffen	schaffen, schafft, schuf, hat geschaffen		verb	A2	to manage, create	создать
damals	damals		pron	A2	then	тогда
erhalten, erhält, erhielt, hat erhalten	erhalten, erhält, erhielt, hat erhalten		verb	B1	to receive	получил
lernen, lernt, lernte, hat gelernt	lernen, lernt, lernte, hat gelernt		verb	A1	to learn	учиться
frei	frei		adj	A1	free	бесплатно
Wert	der Wert, -e		der, adj	B1	value; worth	значение
beziehungsweise, bzw.	beziehungsweise, bzw.		conj	A1	or, respectively	соответственно
daran, dran	daran, dran		pron	A1	on it	на этом
suchen, sucht, suchte, hat gesucht	suchen, sucht, suchte, hat gesucht		verb	A1	to search, look for	искать
Europa	Europa		das	A1	Europe	Европа
gemeinsam	gemeinsam		adj	B1	common, mutual	вместе
rund	rund		adj, adv	A2	round; approximately	круглый
Zahl	die Zahl, -en		die	A2	number	номер
Thema	das Thema, -en		das	A1	subject, topic, theme	тема
handeln, handelt, handelte, hat gehandelt	handeln, handelt, handelte, hat gehandelt		verb	A1	to deal, trade	действовать
Buch	das Buch, -̈er		das	A1	book	книга
bisschen, bissel	bisschen, bissel		pron	A1	a little	немного
deutlich	deutlich		adj	A2	clear	ясно
anders	anders		adv	A2	different, differently	разные
politisch	politisch		adj	B1	political	политический
lesen, liest, las, hat gelesen	lesen, liest, las, hat gelesen		verb	A1	to read	читать
Blick	der Blick, -e		der	A1	look, view, glance	Смотри
Form	die Form, -en		die	B1	form, shape	форма
einzeln	einzeln		adj	B1	individual, single, separately	индивидуально
erreichen, erreicht, erreichte, hat erreicht	erreichen, erreicht, erreichte, hat erreicht		verb	A2	to achieve, reach	достичь
vergehen, vergeht, verging, hat vergangen	vergehen, vergeht, verging, hat vergangen		verb	A1	to pass (time)	скончался
leicht	leicht		adj	A1	light, easy	легко
je	je		adv, conj	B1	ever, each; the more	когда-либо
verlieren, verliert, verlor, hat verloren	verlieren, verliert, verlor, hat verloren		verb	A2	to lose	потерять
beste	beste (r, s)		adj	A1	best	лучший
bilden, bildet, bildete, hat gebildet	bilden, bildet, bildete, hat gebildet		verb	A1	to form, educate	форма
Monat	der Monat, -e		der	A1	month	месяц
Lösung	die Lösung, -en		die	A1	solution	решение
Sache	die Sache, -n		die	A2	thing	вещь
bekannt	bekannt		adj	A1	well-known, famous	известный
Ziel	das Ziel, -e		das	A2	destination, goal	цель
steigen, steigt, stieg, ist gestiegen	steigen, steigt, stieg, ist gestiegen		verb	B1	to climb, increase	подняться
eher	eher		adv	B1	sooner, earlier, more likely, rather	скорее
essen, isst, aß, hat gegessen	essen, isst, aß, hat gegessen		verb	A1	to eat	есть
Minute	die Minute, -n		die	A1	minute	минута
Nacht	die Nacht, -̈e		die, adv	A1	night; at night, nights	ночь
Platz	der Platz, -̈e		der	A1	place, room, square	место
schlecht	schlecht		adj	A1	bad	плохой
Spiel	das Spiel, -e		das	A2	game, match	игра
Familie	die Familie, -n		die	A1	family	семья
jemand	jemand		pron	A2	someone, somebody	кто-то
dessen	dessen		pron	A1	whose	чей
fallen, fällt, fiel, ist gefallen	fallen, fällt, fiel, ist gefallen		verb	A2	to fall	падать
zehn	zehn		num	A1	ten	десять
Preis	der Preis, -e		der	A1	price, prize	цена
europäisch	europäisch		adj	A1	European	европейский
sonst	sonst		adv	A2	otherwise	иначе
Staat	der Staat, -en		der	A1	state	государство
helfen, hilft, half, hat geholfen	helfen, hilft, half, hat geholfen		verb	A1	to help	помогите
Bereich	der Bereich, -e		der	B1	area, region	площадь
tatsächlich	tatsächlich		adj	B1	real, actual	на самом деле
Ort	der Ort, -e		der	A1	place, town, location	расположение
Abend	der Abend, -e		der, adv	A1	evening; in the evening	вечер
einzig	einzig		adj	B1	only, single	только
Stelle	die Stelle, -n		die	A1	place	позиция
unterschiedlich	unterschiedlich		adj	B1	different	разные
Gesicht	das Gesicht, -er		das	A2	face	лицо
Entwicklung	die Entwicklung, -en		die	B1	development	развитие
Uhr	die Uhr, -en		die	A1	clock, watch, o’clock	часы
mehrere	mehrere		pron	B1	several, multiple, various	несколько
schließen, schließt, schloss, hat geschlossen	schließen, schließt, schloss, hat geschlossen		verb	A1	to close	близко
schließlich	schließlich		adv	A1	finally, eventually	наконец
legen, legt, legte, hat gelegt	legen, legt, legte, hat gelegt		verb	A1	to lay, put	лежал
direkt	direkt		adj	A2	direct, straight	напрямую
daher	daher		pron	B1	from, there, therefore	поэтому
offen	offen		adj	A2	open	открыть
erkennen, erkennt, erkannte, hat erkannt	erkennen, erkennt, erkannte, hat erkannt		verb	B1	to recognize, admit	признать
Person	die Person, -en		die	A2	person	человек
Moment	der Moment, -e		der	A1	moment	подожди
Schule	die Schule, -n		die	A1	school	школа
darin, drin, drinnen	darin, drin, drinnen		pron	A1	in it, in there, inside	в нем
Auto	das Auto, -s		das	A1	automobile, car	машина
niemand	niemand		pron	A2	no one, nobody	никто
Gesellschaft	die Gesellschaft, -en		die	B1	society, company	общество
warten, wartet, wartete, hat gewartet	warten, wartet, wartete, hat gewartet		verb	A1	to wait	подожди
vorstellen, stellt vor, stellte vor, hat vorgestellt	vorstellen, stellt vor, stellte vor, hat vorgestellt		verb	A2	to introduce, imagine	представить
früh	früh		adj	A2	early	ранний
treten, tritt, trat, hat getreten	treten, tritt, trat, hat getreten		verb	B1	to step	пнул
reden, redet, redete, hat geredet	reden, redet, redete, hat geredet		verb	A2	to talk	говорить
Gruppe	die Gruppe, -n		die	A1	group	группа
Ding	das Ding, -e		das	A2	thing	вещь
na	na		part	A1	well	ну
gewinnen, gewinnt, gewann, hat gewonnen	gewinnen, gewinnt, gewann, hat gewonnen		verb	A1	to win, gain	победа
zunächst	zunächst		adv	B1	first, at first, for now	изначально
damit	damit		conj	B1	so that	с этим
Tür	die Tür, -en		die	A2	door	дверь
Schritt	der Schritt, -e		der	B1	step	шаг
entwickeln, entwickelt, entwickelte, hat entwickelt	entwickeln, entwickelt, entwickelte, hat entwickelt		verb	B1	to develop	разрабатывать
meiste	meiste		adj	A1	most	большинство
Möglichkeit	die Möglichkeit, -en		die	B1	possibility, chance	возможность
Sinn	der Sinn, -e		der	B1	sense, meaning	смысл
passieren, passiert, passierte, hat passiert	passieren, passiert, passierte, hat passiert		verb	A2	to take place, happen	случиться
manchmal	manchmal		adv	A2	sometimes	иногда
Vergleich	der Vergleich, -e		der	A1	comparison	сравнение
System	das System, -e		das	B1	system	система
Rolle	die Rolle, -n		die	B1	role, roll	роль
Ergebnis	das Ergebnis, -se		das	A1	result	результат
vergleichen, vergleicht, verglich, hat verglichen	vergleichen, vergleicht, verglich, hat verglichen		verb	A2	to compare	сравнивать
voll	voll		adj	A2	full	полный
erwarten, erwartet, erwartete, hat erwartet	erwarten, erwartet, erwartete, hat erwartet		verb	A1	to expect	ожидать
obwohl	obwohl		conj	B1	although	хотя
Straße	die Straße, -n		die	A1	street	улица
Angst	die Angst, -Äe		die	A2	fear, anxiety	страх
allgemein	allgemein		adj	B1	general	общий
fühlen, fühlt, fühlte, hat gefühlt	fühlen, fühlt, fühlte, hat gefühlt		verb	A2	to feel	чувствовать
jene	jene (r, s)		pron	A1	that, those	те
erinnern, erinnert, erinnerte, hat erinnert	erinnern, erinnert, erinnerte, hat erinnert		verb	A2	to remind	помню
oh	oh		part	A1	oh, aw	ох
bedeuten, bedeutet, bedeutete, hat bedeutet	bedeuten, bedeutet, bedeutete, hat bedeutet		verb	A1	to mean	значит
Stimme	die Stimme, -n		die	B1	voice, vote	голос
Reaktion	die Reaktion, -en		die	B1	reaction	реакция
wirken, wirkt, wirkte, hat gewirkt	wirken, wirkt, wirkte, hat gewirkt		verb	B1	to have an effect, take effect, work	работа
darstellen, stellt dar, stellte dar, hat dargestellt	darstellen, stellt dar, stellte dar, hat dargestellt		verb	B1	to depict, portray, show	представлять
Raum	der Raum, -̈e		der	A1	room, space	пространство
Eltern	Eltern		die (pl)	A1	parents	родители
bezeichnen, bezeichnet, bezeichnete, hat bezeichnet	bezeichnen, bezeichnet, bezeichnete, hat bezeichnet		verb	A2	to call, name	обозначать
Funktion	die Funktion, -en		die	A2	function	функция
häufig	häufig		adj	B1	frequent	часто
erscheinen, erscheint, erschien, ist erschienen	erscheinen, erscheint, erschien, ist erschienen		verb	A2	to appear	появиться
USA	USA (Vereinigte Staaten von Amerika)		die	A2	USA, United States of America	США
Flüchtling	der Flüchtling, -e		der	A2	refugee	беженец
früher	früher		adv	A1	in former times	ранее
pro	pro		prep, das	A2	per; pro	за
ergeben, ergibt, ergab, hat ergeben	ergeben, ergibt, ergab, hat ergeben		verb	A2	to result in, produce	вылилось
entscheiden, entscheidet, entschied, hat entschieden	entscheiden, entscheidet, entschied, hat entschieden		verb	B1	to decide	решить
Universität	die Universität, -en (Uni)		die	A2	university	университет
betreffen, betrifft, betraf, hat betroffen	betreffen, betrifft, betraf, hat betroffen		verb	A2	to affect, concern	беспокойство
oben	oben		adv	A1	above, up there	выше
Richtung	die Richtung, -en		die	B1	direction	направление
bestimmen, bestimmt, bestimmte, hat bestimmt	bestimmen, bestimmt, bestimmte, hat bestimmt		verb	A2	to decide, determine	определить
fehlen, fehlt, fehlte, hat gefehlt	fehlen, fehlt, fehlte, hat gefehlt		verb	A1	to lack, be missing, be absent	пропал
Sprache	die Sprache, -n		die	A1	language	язык
Produkt	das Produkt, -e		das	A2	product	продукт
Situation	die Situation, -en		die	A2	situation	ситуация
außerdem	außerdem		adv	A2	besides, in addition	кроме того
nämlich	nämlich		part	B1	you see, namely	а именно
international	international		adj	A1	international	международный
Anfang	der Anfang, -̈e		der	A1	beginning	начало
sechs	sechs		num	A1	six	шесть
nutzen, nutzt, nutzte, hat genutzt	nutzen, nutzt, nutzte, hat genutzt		verb	B1	to use	использовать
sozial	sozial		adj	B1	social	социальный
Folge	die Folge, -n		die	B1	result, consequences	эпизод
Satz	der Satz, -̈e		der	A1	sentence	приговор
manche	manche (r, s)		pron	A1	some, many a	некоторые
Verbindung	die Verbindung, -en		die	B1	connection, link	соединение
beschreiben, beschreibt, beschrieb, hat beschrieben	beschreiben, beschreibt, beschrieb, hat beschrieben		verb	A2	to describe	описать
Licht	das Licht, -er		das	A1	light	свет
ähnlich	ähnlich		adj	B1	similar	похожий
Regel	die Regel, -n		die	B1	rule	правило
gegenüber	gegenüber		prep	A2	opposite	напротив
Kollege	der Kollege, -n		der	A1	colleague	коллега
bisher	bisher		adv	B1	until now, up to now, yet	до сих пор
tief	tief		adj	A2	deep	глубокий
halb	halb		adj	B1	half	половина
lachen, lacht, lachte, hat gelacht	lachen, lacht, lachte, hat gelacht		verb	A1	to laugh	смеяться
ebenfalls	ebenfalls		adv	B1	likewise, also, as well	также
sofort	sofort		adv	A1	immediately	немедленно
Grenze	die Grenze, -n		die	B1	border, frontier	граница
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2	to change	изменение
Entscheidung	die Entscheidung, -en		die	B1	decision	решение
verlassen, verlässt, verließ, hat verlassen	verlassen, verlässt, verließ, hat verlassen		verb	B1	to leave	уйти
Idee	die Idee, -n		die	A2	idea	идея
