Word	Annotation	Sense	Part of Speech	Level	Russian
wenig	wenig		adj, pron	A1	маленький
finden, findet, fand, hat gefunden	finden, findet, fand, hat gefunden		verb	A1	найти, находит, нашел, нашел
gegen	gegen		prep	A1	против
zwischen	zwischen		prep	A1	между
drei	drei		num	A1	три
liegen, liegt, lag, hat gelegen	liegen, liegt, lag, hat gelegen		verb	A1	ложь, лежит, лежал, лежал
wo	wo		pron	A1	где
nichts, nix	nichts, nix		pron	A1	ничего, ничего
klein	klein		adj	A1	маленький
Tag	der Tag, -e		der	A1	день
deutsch	deutsch		adj, das	A1	немецкий
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	остаться, остаться, остался, остался
nun, nu	nun, nu		adv	A1	ну, сейчас
sondern	sondern		conj	B1	но
heute	heute		adv	A1	сегодня
beide	beide		pron	A1	оба
hoch	hoch		adj	A1	высокий
damit	damit		pron	B1	с этим
ohne	ohne		prep, conj	A1	без
Mann	der Mann, -̈er		der	A1	Мужчина
welch	welch, -e, -er, -es		pron	A1	который
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	делать, делает, сделал, сделал
einmal	einmal		adv	A1	однажды
ihnen	ihnen		pron, pron	A1	они
heißen, heißt, hieß, hat geheißen	heißen, heißt, hieß, hat geheißen		verb	A1	зовут, зовут, зовут
ob	ob		conj	B1	ли
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	думать, думает, думал, думал
dabei	dabei		pron	A2	там
seit	seit		prep	A1	с тех пор
einfach	einfach		adj, part	A1	легко
erst	erst		adv, part	A1	первый
Kind	das Kind, -er		das	A1	ребенок
Land	das Land, -̈er		das	A1	страна
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	положил, положил, положил, положил
zeigen, zeigt, zeigte, hat gezeigt	zeigen, zeigt, zeigte, hat gezeigt		verb	A2	показать, показывает, показал, показал
natürlich	natürlich		adj, adv	A2	конечно
alt	alt		adj	A1	старый
dort	dort		adv	A1	там
Deutschland	Deutschland		das	A1	Германия
gleich	gleich		adj	A1	то же самое
nehmen, nimmt, nahm, hat genommen	nehmen, nimmt, nahm, hat genommen		verb	A1	взять, берет, взял, взял
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	может, может, было разрешено, было разрешено
wichtig	wichtig		adj	A1	важный
vielleicht	vielleicht		adv, part	A1	может быть
hören, hört, hörte, hat gehört	hören, hört, hörte, hat gehört		verb	A1	слышать, слышать, слышать, слышать
Haus	das Haus, -̈er		das	A1	дом
nein, nee, nö	nein, nee, nö		part	A1	нет, нет, нет
wer	wer		pron	A1	кто
dazu	dazu		pron	A1	к этому
eigentlich	eigentlich		adj, adv, part	A2	на самом деле
letzte	letzte (r, s)		adj	A1	последний
fragen, fragt, fragte, hat gefragt	fragen, fragt, fragte, hat gefragt		verb	A1	спросить, спрашивает, спросил, спросил
Herr	der Herr, -en		der	A1	сэр
halten, hält, hielt, hat gehalten	halten, hält, hielt, hat gehalten		verb	A1	держать, держит, держал, держал
glauben, glaubt, glaubte, hat geglaubt	glauben, glaubt, glaubte, hat geglaubt		verb	A1	верю, верит, верил, верил
Frage	die Frage, -n		die	A1	Вопрос
gelten, gilt, galt, hat gegolten	gelten, gilt, galt, hat gegolten		verb	B1	применить, применяет, применил, применил
gerade	gerade		adj, adv	A1	прямой
folgen, folgt, folgte, ist gefolgt	folgen, folgt, folgte, ist gefolgt		verb	B1	следовать, следовать, следовать, следовать
sprechen, spricht, sprach, hat gesprochen	sprechen, spricht, sprach, hat gesprochen		verb	A1	говорить, говорит, говорил, говорил
führen, führt, führte, hat geführt	führen, führt, führte, hat geführt		verb	B1	вести, ведет, привел, привел
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	принести, принес, принес, принес
Welt	die Welt, -en		die	A1	мир
gar	gar		adv	A1	даже
eigen	eigen		adj	A2	собственный
genau	genau		adj	A2	точно
mögen, mag, mochte, hat gemocht	mögen, mag, mochte, hat gemocht		verb	A1	нравится, нравится, понравилось, понравилось
spät	spät		adj, adj	A1	поздно
bereits	bereits		adv	B1	уже
möglich	möglich		adj, adv	A1	возможно
Prozent	das Prozent, -e		das	A1	процент
während	während		prep, conj	B1	пока
einige	einige		pron	A1	некоторые
dafür	dafür		pron	A2	для этого
kurz	kurz		adj	A1	короткий
richtig	richtig		adj	A1	правильный
stark	stark		adj	A2	сильный
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	нужно, нужно, нужно, нужно
Hand	die Hand, -̈e		die	A1	рука
etwa	etwa		adv, part	B1	о
weitere	weitere (r, s)		adj	A1	больше
Ende	das Ende, -n		das	A1	конец
schreiben, schreibt, schrieb, hat geschrieben	schreiben, schreibt, schrieb, hat geschrieben		verb	A1	писать, писать, писать, писать
solch	solch		pron	B1	такой
nie	nie		adv	A1	никогда
Fall	der Fall, -̈e		der	B1	дело
schön	schön		adj	A1	красивый
wirklich	wirklich		adj, adv	A2	действительно
denen	denen		pron	A1	те
nennen, nennt, nannte, hat genannt	nennen, nennt, nannte, hat genannt		verb	A2	звонок, звонки, позвонил, позвонил
warum	warum		adv	A1	почему
ziehen, zieht, zog, hat gezogen	ziehen, zieht, zog, hat gezogen		verb	B1	тянет, тянет, потянул, потянул
Wort	das Wort, -̈er		das	A1	слово
darauf, drauf	darauf, drauf		pron	A1	на этом, на этом
eben, ebend	eben, ebend		adv, part	B1	просто, просто так
Seite	die Seite, -n		die	A2	Страница
Teil	das Teil, -e		der, das	A1	часть
jung	jung		adj	A1	молодой
vier	vier		num	A1	четыре
besser	besser		adj	A1	лучше
fast	fast		adv	A2	почти
schnell	schnell		adj	A1	быстро
Stadt	die Stadt, -̈e		die	A1	город
spielen, spielt, spielte, hat gespielt	spielen, spielt, spielte, hat gespielt		verb	A1	играть, играет, играл, играл
zwar	zwar		adv	B1	хотя
Euro	der Euro, -s		der	A1	евро
Arbeit	die Arbeit, -en		die	A1	работа
Million, Mio.	Million, Mio.		die	A1	миллион, миллион
Problem	das Problem, -e		das	A1	проблема
verstehen, versteht, verstand, hat verstanden	verstehen, versteht, verstand, hat verstanden		verb	A1	понять, понимает, понял, понял
bekommen, bekommt, bekam, hat bekommen	bekommen, bekommt, bekam, hat bekommen		verb	A1	получил, получил, получил, получил
meinen, meint, meinte, hat gemeint	meinen, meint, meinte, hat gemeint		verb	A1	значит, значит, имелось в виду, имелось в виду
davon	davon		pron	A1	этого
fahren, fährt, fuhr, ist gefahren	fahren, fährt, fuhr, ist gefahren		verb	A1	ехать, ехать, ехать, ехать
kennen, kennt, kannte, hat gekannt	kennen, kennt, kannte, hat gekannt		verb	A1	знаю, знает, знал, знал
dich	dich		pron	A1	ты
Mutter	die Mutter, -̈		die	A1	мать
Woche	die Woche, -n		die	A1	неделя
Weg	der Weg, -e		der	A1	путь
weiter	weiter		adv	A1	дальше
Auge	das Auge, -n		das	A1	глаз
oft	oft		adv	A1	часто
Leute	Leute		die (pl)	A1	люди
allerdings	allerdings		adv	B1	однако
sogar	sogar		adv	A2	даже
jedoch	jedoch		adv	B1	однако
setzen, setzt, setzte, hat gesetzt	setzen, setzt, setzte, hat gesetzt		verb, verb	A2	положил, положил, положил, положил
deshalb	deshalb		adv	A2	поэтому
weit	weit		adj	A1	далеко
sitzen, sitzt, saß, hat gesessen	sitzen, sitzt, saß, hat gesessen		verb	A1	сидеть, сидеть, сидеть, сидеть
Vater	der Vater, -̈		der	A1	Отец
dein	dein		pron	A1	твой
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	работа, работает, работал, работал
Geld	das Geld, -er		das	A1	деньги
Unternehmen	das Unternehmen, -		das	A2	Компания
nächste	nächste (r, s)		adj	A2	следующий
erklären, erklärt, erklärte, hat erklärt	erklären, erklärt, erklärte, hat erklärt		verb	A1	объяснить, объяснил, объяснил, объяснил
klar	klar		adj	A1	ясно
Doktor	der Doktor, -en (Dr.)		der	A1	Доктор
Paar	das Paar, -e		das, pron	A2	Пара
Recht	das Recht, -e		das, adj, part	B1	Правильно
wegen	wegen		prep	A2	из-за
dir	dir		pron	A1	ты
Wasser	das Wasser, -		das	A1	вода
bestehen, besteht, bestand, hat bestanden	bestehen, besteht, bestand, hat bestanden		verb	A2	пройти, проходит, прошло, прошло
versuchen, versucht, versuchte, hat versucht	versuchen, versucht, versuchte, hat versucht		verb	A2	попробовал, попробовал, попробовал, попробовал
Punkt	der Punkt, -e		der	B1	Период
Grund	der Grund, -̈e		der	B1	причина
Kopf	der Kopf, -̈e		der	A1	голова
beginnen, beginnt, begann, hat begonnen	beginnen, beginnt, begann, hat begonnen		verb	A1	начать, начинается, началось, началось
laufen, läuft, lief, ist gelaufen	laufen, läuft, lief, ist gelaufen		verb	A1	бежать, бежать, бежать, бежать
Bild	das Bild, -er		das	A1	Изображение
verschieden	verschieden		adj	A2	разные
Name	der Name, -n		der	A1	имя
Aufgabe	die Aufgabe, -n		die	A1	задача
schwer	schwer		adj	A1	сложно
entsprechen, entspricht, entsprach, hat entsprochen	entsprechen, entspricht, entsprach, hat entsprochen		verb	A1	переписываться, соответствует, переписывалось, переписывалось
treffen, trifft, traf, hat getroffen	treffen, trifft, traf, hat getroffen		verb	A2	ударить, ударить, ударить, ударить
Art	die Art, -en		die	A1	Искусство
wohl	wohl		adv, part	B1	вероятно
Geschichte	die Geschichte, -n		die	A2	история
erzählen, erzählt, erzählte, hat erzählt	erzählen, erzählt, erzählte, hat erzählt		verb	A1	рассказать, рассказал, рассказал, рассказал
entstehen, entsteht, entstand, ist entstanden	entstehen, entsteht, entstand, ist entstanden		verb	B1	возникать, возникает, возникло, возникло
sicher	sicher		adj	A2	конечно
neben	neben		prep	A2	рядом с
allein, alleine	allein, alleine		adv	A1	один, один
Abbildung	die Abbildung, -en (Abb.)		die	B1	Иллюстрация
hinter	hinter		prep	A2	позади
besonders	besonders		adv	A2	особенно
tragen, trägt, trug, hat getragen	tragen, trägt, trug, hat getragen		verb	A2	носить, несет, носил, носила
kaum	kaum		adv	B1	вряд ли
Freund	der Freund, -e		der	A1	друг
fünf	fünf		num	A1	пять
scheinen, scheint, schien, hat geschienen	scheinen, scheint, schien, hat geschienen		verb	A1	кажется, кажется, показалось, показалось
Stunde	die Stunde, -n		die	A1	час
aussehen, sieht aus, sah aus, hat ausgesehen	aussehen, sieht aus, sah aus, hat ausgesehen		verb	A1	смотри, смотрит, посмотрел, посмотрел
gern, gerne	gern, gerne		adv	A1	с радостью, с удовольствием
überhaupt	überhaupt		adv	B1	вообще
bestimmt	bestimmt		adj	B1	решительный
sowie	sowie		conj	A1	а также
Professor	der Professor, -en		der	B1	Профессор
darüber, drüber	darüber, drüber		pron	A1	над этим, над этим
deren	deren		pron	A1	чей
schaffen, schafft, schuf, hat geschaffen	schaffen, schafft, schuf, hat geschaffen		verb	A2	создать, создаёт, создал, создал
damals	damals		pron	A2	тогда
erhalten, erhält, erhielt, hat erhalten	erhalten, erhält, erhielt, hat erhalten		verb	B1	получил, получает, получил, получил
lernen, lernt, lernte, hat gelernt	lernen, lernt, lernte, hat gelernt		verb	A1	учиться, учиться, учиться, учиться
frei	frei		adj	A1	бесплатно
Wert	der Wert, -e		der, adj	B1	Значение
beziehungsweise, bzw.	beziehungsweise, bzw.		conj	A1	соответственно, или
daran, dran	daran, dran		pron	A1	на этом, на этом
suchen, sucht, suchte, hat gesucht	suchen, sucht, suchte, hat gesucht		verb	A1	искать, искать, искать, искал
Europa	Europa		das	A1	Европа
gemeinsam	gemeinsam		adj	B1	вместе
rund	rund		adj, adv	A2	круглый
Zahl	die Zahl, -en		die	A2	номер
Thema	das Thema, -en		das	A1	тема
handeln, handelt, handelte, hat gehandelt	handeln, handelt, handelte, hat gehandelt		verb	A1	действовать, действовать, действовать, действовать
Buch	das Buch, -̈er		das	A1	книга
bisschen, bissel	bisschen, bissel		pron	A1	немного, немного
deutlich	deutlich		adj	A2	ясно
anders	anders		adv	A2	разные
politisch	politisch		adj	B1	политический
lesen, liest, las, hat gelesen	lesen, liest, las, hat gelesen		verb	A1	читать, читать, читать, читать
Blick	der Blick, -e		der	A1	Смотри
Form	die Form, -en		die	B1	форма
einzeln	einzeln		adj	B1	индивидуально
erreichen, erreicht, erreichte, hat erreicht	erreichen, erreicht, erreichte, hat erreicht		verb	A2	достичь, добился, добился, добился
vergehen, vergeht, verging, hat vergangen	vergehen, vergeht, verging, hat vergangen		verb	A1	скончался, скончался, скончался, скончался
leicht	leicht		adj	A1	легко
je	je		adv, conj	B1	когда-либо
verlieren, verliert, verlor, hat verloren	verlieren, verliert, verlor, hat verloren		verb	A2	потерять, потерять, потерять, потерять
beste	beste (r, s)		adj	A1	лучший
bilden, bildet, bildete, hat gebildet	bilden, bildet, bildete, hat gebildet		verb	A1	форма, формы, сформировалось, сформировалось
Monat	der Monat, -e		der	A1	месяц
Lösung	die Lösung, -en		die	A1	Решение
Sache	die Sache, -n		die	A2	вещь
bekannt	bekannt		adj	A1	известный
Ziel	das Ziel, -e		das	A2	Цель
steigen, steigt, stieg, ist gestiegen	steigen, steigt, stieg, ist gestiegen		verb	B1	подняться, подняться, поднялся, поднялся
eher	eher		adv	B1	скорее
essen, isst, aß, hat gegessen	essen, isst, aß, hat gegessen		verb	A1	есть, есть, есть, есть
Minute	die Minute, -n		die	A1	минута
Nacht	die Nacht, -̈e		die, adv	A1	ночь
Platz	der Platz, -̈e		der	A1	место
schlecht	schlecht		adj	A1	плохой
Spiel	das Spiel, -e		das	A2	игра
Familie	die Familie, -n		die	A1	семья
jemand	jemand		pron	A2	кто-то
dessen	dessen		pron	A1	чей
fallen, fällt, fiel, ist gefallen	fallen, fällt, fiel, ist gefallen		verb	A2	падать, падает, упал, упал
zehn	zehn		num	A1	десять
Preis	der Preis, -e		der	A1	Цена
europäisch	europäisch		adj	A1	Европейский
sonst	sonst		adv	A2	иначе
Staat	der Staat, -en		der	A1	Государство
helfen, hilft, half, hat geholfen	helfen, hilft, half, hat geholfen		verb	A1	помогите, помогает, помогло, помогло
Bereich	der Bereich, -e		der	B1	площадь
tatsächlich	tatsächlich		adj	B1	на самом деле
Ort	der Ort, -e		der	A1	Расположение
Abend	der Abend, -e		der, adv	A1	вечер
einzig	einzig		adj	B1	только
Stelle	die Stelle, -n		die	A1	позиция
unterschiedlich	unterschiedlich		adj	B1	разные
Gesicht	das Gesicht, -er		das	A2	лицо
Entwicklung	die Entwicklung, -en		die	B1	Развитие
Uhr	die Uhr, -en		die	A1	часы
mehrere	mehrere		pron	B1	несколько
schließen, schließt, schloss, hat geschlossen	schließen, schließt, schloss, hat geschlossen		verb	A1	близко, закрывается, закрылось, закрылось
schließlich	schließlich		adv	A1	наконец
legen, legt, legte, hat gelegt	legen, legt, legte, hat gelegt		verb	A1	лежал, лежал, лежал, лежал
direkt	direkt		adj	A2	напрямую
daher	daher		pron	B1	поэтому
offen	offen		adj	A2	открыть
erkennen, erkennt, erkannte, hat erkannt	erkennen, erkennt, erkannte, hat erkannt		verb	B1	признать, признает, признал, признал
Person	die Person, -en		die	A2	человек
Moment	der Moment, -e		der	A1	Подожди
Schule	die Schule, -n		die	A1	школа
darin, drin, drinnen	darin, drin, drinnen		pron	A1	в нем, внутри, внутри
Auto	das Auto, -s		das	A1	машина
niemand	niemand		pron	A2	никто
Gesellschaft	die Gesellschaft, -en		die	B1	Общество
warten, wartet, wartete, hat gewartet	warten, wartet, wartete, hat gewartet		verb	A1	подожди, подожди, подожди, подожди
vorstellen, stellt vor, stellte vor, hat vorgestellt	vorstellen, stellt vor, stellte vor, hat vorgestellt		verb	A2	представить, представил, представил, представил
früh	früh		adj	A2	ранний
treten, tritt, trat, hat getreten	treten, tritt, trat, hat getreten		verb	B1	пнул, пнул, пнул, пнул
reden, redet, redete, hat geredet	reden, redet, redete, hat geredet		verb	A2	говорить, говорить, говорить, говорить
Gruppe	die Gruppe, -n		die	A1	группа
Ding	das Ding, -e		das	A2	вещь
na	na		part	A1	ну
gewinnen, gewinnt, gewann, hat gewonnen	gewinnen, gewinnt, gewann, hat gewonnen		verb	A1	победа, победы, выиграл, выиграл
zunächst	zunächst		adv	B1	изначально
damit	damit		conj	B1	с этим
Tür	die Tür, -en		die	A2	дверь
Schritt	der Schritt, -e		der	B1	шаг
entwickeln, entwickelt, entwickelte, hat entwickelt	entwickeln, entwickelt, entwickelte, hat entwickelt		verb	B1	разрабатывать, разрабатывать, разрабатывать, разработало
meiste	meiste		adj	A1	большинство
Möglichkeit	die Möglichkeit, -en		die	B1	возможность
Sinn	der Sinn, -e		der	B1	смысл
passieren, passiert, passierte, hat passiert	passieren, passiert, passierte, hat passiert		verb	A2	случиться, случилось, случилось, случилось
manchmal	manchmal		adv	A2	иногда
Vergleich	der Vergleich, -e		der	A1	Сравнение
System	das System, -e		das	B1	система
Rolle	die Rolle, -n		die	B1	роль
Ergebnis	das Ergebnis, -se		das	A1	Результат
vergleichen, vergleicht, verglich, hat verglichen	vergleichen, vergleicht, verglich, hat verglichen		verb	A2	сравнивать, сравнивает, сравнил, сравнил
voll	voll		adj	A2	полный
erwarten, erwartet, erwartete, hat erwartet	erwarten, erwartet, erwartete, hat erwartet		verb	A1	ожидать, ожидаемый, ожидаемый, ожидаемый
obwohl	obwohl		conj	B1	хотя
Straße	die Straße, -n		die	A1	улица
Angst	die Angst, -Äe		die	A2	Страх
allgemein	allgemein		adj	B1	общий
fühlen, fühlt, fühlte, hat gefühlt	fühlen, fühlt, fühlte, hat gefühlt		verb	A2	чувствовать, чувствует, почувствовал, почувствовал
jene	jene (r, s)		pron	A1	те
erinnern, erinnert, erinnerte, hat erinnert	erinnern, erinnert, erinnerte, hat erinnert		verb	A2	помню, вспомнил, вспомнил, вспомнил
oh	oh		part	A1	ох
bedeuten, bedeutet, bedeutete, hat bedeutet	bedeuten, bedeutet, bedeutete, hat bedeutet		verb	A1	значит, значит, имелось в виду, имелось в виду
Stimme	die Stimme, -n		die	B1	голос
Reaktion	die Reaktion, -en		die	B1	реакция
wirken, wirkt, wirkte, hat gewirkt	wirken, wirkt, wirkte, hat gewirkt		verb	B1	работа, работает, работал, работал
darstellen, stellt dar, stellte dar, hat dargestellt	darstellen, stellt dar, stellte dar, hat dargestellt		verb	B1	представлять, представляет, представлял, представлял
Raum	der Raum, -̈e		der	A1	пространство
Eltern	Eltern		die (pl)	A1	родители
bezeichnen, bezeichnet, bezeichnete, hat bezeichnet	bezeichnen, bezeichnet, bezeichnete, hat bezeichnet		verb	A2	обозначать, обозначает, обозначает, обозначил
Funktion	die Funktion, -en		die	A2	Функция
häufig	häufig		adj	B1	часто
erscheinen, erscheint, erschien, ist erschienen	erscheinen, erscheint, erschien, ist erschienen		verb	A2	появиться, появляется, появился, появился
USA	USA (Vereinigte Staaten von Amerika)		die	A2	США
Flüchtling	der Flüchtling, -e		der	A2	беженец
früher	früher		adv	A1	ранее
pro	pro		prep, das	A2	за
ergeben, ergibt, ergab, hat ergeben	ergeben, ergibt, ergab, hat ergeben		verb	A2	вылилось, вылилось, вылилось, вылилось
entscheiden, entscheidet, entschied, hat entschieden	entscheiden, entscheidet, entschied, hat entschieden		verb	B1	решить, решить, решил, решил
Universität	die Universität, -en (Uni)		die	A2	Университет
betreffen, betrifft, betraf, hat betroffen	betreffen, betrifft, betraf, hat betroffen		verb	A2	беспокойство, влияет, повлияло, повлияло
oben	oben		adv	A1	выше
Richtung	die Richtung, -en		die	B1	направление
bestimmen, bestimmt, bestimmte, hat bestimmt	bestimmen, bestimmt, bestimmte, hat bestimmt		verb	A2	определить, определило, определило, определило
fehlen, fehlt, fehlte, hat gefehlt	fehlen, fehlt, fehlte, hat gefehlt		verb	A1	пропал, пропал, пропал, пропал
Sprache	die Sprache, -n		die	A1	язык
Produkt	das Produkt, -e		das	A2	продукт
Situation	die Situation, -en		die	A2	ситуация
außerdem	außerdem		adv	A2	кроме того
nämlich	nämlich		part	B1	а именно
international	international		adj	A1	международный
Anfang	der Anfang, -̈e		der	A1	начало
sechs	sechs		num	A1	шесть
nutzen, nutzt, nutzte, hat genutzt	nutzen, nutzt, nutzte, hat genutzt		verb	B1	использовать, использует, использовал, использовал
sozial	sozial		adj	B1	социальный
Folge	die Folge, -n		die	B1	Эпизод
Satz	der Satz, -̈e		der	A1	Приговор
manche	manche (r, s)		pron	A1	некоторые
Verbindung	die Verbindung, -en		die	B1	соединение
beschreiben, beschreibt, beschrieb, hat beschrieben	beschreiben, beschreibt, beschrieb, hat beschrieben		verb	A2	описать, описывает, описал, описал
Licht	das Licht, -er		das	A1	Свет
ähnlich	ähnlich		adj	B1	похожий
Regel	die Regel, -n		die	B1	Правило
gegenüber	gegenüber		prep	A2	напротив
Kollege	der Kollege, -n		der	A1	коллега
bisher	bisher		adv	B1	до сих пор
tief	tief		adj	A2	глубокий
halb	halb		adj	B1	половина
lachen, lacht, lachte, hat gelacht	lachen, lacht, lachte, hat gelacht		verb	A1	смеяться, смеяться, смеяться, смеяться
ebenfalls	ebenfalls		adv	B1	также
sofort	sofort		adv	A1	немедленно
Grenze	die Grenze, -n		die	B1	граница
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2	изменение, изменения, изменилось, изменилось
Entscheidung	die Entscheidung, -en		die	B1	решение
verlassen, verlässt, verließ, hat verlassen	verlassen, verlässt, verließ, hat verlassen		verb	B1	уйти, уходит, ушел, ушел
Idee	die Idee, -n		die	A2	идея
verbinden, verbindet, verband, hat verbunden	verbinden, verbindet, verband, hat verbunden		verb	B1	соединить, соединяет, соединил, подключил
Milliarde, Mrd.	Milliarde, Mrd.		die	A2	миллиард, миллиард
endlich	endlich		adv	A2	наконец
Energie	die Energie, -n		die	B1	Энергия
plötzlich	plötzlich		adv	A2	внезапно
danach	danach		pron	B1	после этого
Kraft	die Kraft, -̈e		die	B1	Сила
lieber	lieber		adv	A1	дорогой
gehören, gehört, gehörte, hat gehört	gehören, gehört, gehörte, hat gehört		verb	A1	принадлежать, слышал, слышал, слышал
einsetzen, setzt ein, setzte ein, hat eingesetzt	einsetzen, setzt ein, setzte ein, hat eingesetzt		verb	B1	вставил, вставил, вставил, началось
Gefühl	das Gefühl, -e		das	B1	чувство
trotzdem	trotzdem		adv	B1	в любом случае
befinden, befindet, befand, hat befunden	befinden (sich), befindet, befand, hat befunden		verb	B1	нашел, нашел, нашел, нашел
Information	die Information, -en		die	A1	информация
dadurch	dadurch		pron	A2	тем самым
dagegen	dagegen		pron	A2	против этого
Weise	die Weise, -n		die	A2	путь
Zukunft	die Zukunft, -̈e		die	B1	будущее
wachsen, wächst, wuchs, ist gewachsen	wachsen, wächst, wuchs, ist gewachsen		verb	B1	расти, расти, вырос, вырос
bitte	bitte		adv	A1	пожалуйста
weiß	weiß		adj	A2	белый
Text	der Text, -e		der	A1	Текст
schwarz	schwarz		adj	A2	черный
